Timestamp,Organization/Resource,Old Tags,,Category 1,Category 2,Category 3,Short Description,Long Description,Website,Location,Phone Number,Audience,Facebook,Twitter,Contact,Service Area
,SCORE Chattanooga,"Networking/Guidance, Mentoring, Business Development",,Business Development,"Training, Mentoring",Resource Provider,"Offers general business instruction such as basic accounting and finance, marketing advice, help with hiring/firing, cash flow and break-even analyses, and business planning.","The SCORE counseling activity is designed to provide follow-on mentoring ""for the life of your business"". Many different resources are available within our own SCORE Chapter, but additionally through the nationwide SCORE organizations of 348 Chapters and some 13,000 volunteers and an extensive national website resource of business tools and guides. As an SBA resource partner since our establishment with the SBA in 1964, we have developed an excellent line of communication for client benefit in many different directions and are pleased to bring these into play whenever and wherever possible.

Service Corps of Retired Executives (SCORE)",https://chattanooga.score.org/,"726 Marlin Road #515, Chattanooga, TN 37411",(423) 553-1722,"Our audience will include all new start-ups, and also existing businesses whether newly formed or old established companies. Our team of experienced counselors have retired from many different small business and corporate positions which enable us to address a wide variety of business and organization development situations for client benefit.",In process,In process,Chet.tschetter@gmail.com,"SCORE has five Chapters in Tennessee, Memphis, Nashville, Knoxville, Tri-Cities area and Chattanooga. Our Chattanooga Chapter serves all SE Tennessee plus North Georgia and NE Alabama."
9/27/2012 14:23:49,Signal Centers,Networking/Guidance,,,,,Provides one-on-one mentoring for young adults ages 17-21 with professionals in various fields as a part of its Job Development Services.,,http://www.signalcenters.org/,"109 North Germantown Road, Chattanooga, TN 37411 ",423-698-8528,,,,,
,"Small Business
Development Center (SBDC)","Networking/Guidance, Workspace, Entrepreneurship,
Business Development, Startup Support, Work Space, Training, training and mentoring, Startup Support, Training, Mentoring, Space
Female Founders, Regional",,,,,,"For Startup Support, the TSBDC provides assistance in banking, creating a business plan, meeting IRS requirements, marketing and operations, determining an ownership structure, record keeping, and patenting. For existing businesses, they offer help with financing, customer service, employee issues, expansion/growth plans, health insurance, marketing, accounting, finding capital, and general management.

Individual consultations with small business counselors with expertise in areas such as:  Accounting, Marketing, Finance, Sources of Capital, Tax Planning, Forecasting, Loan Package Development
Training Sessions on small business topics such as Writing a Business Plan, Quickbooks, Marketing, Social Media, Government Contracting Services
All services are complimentary",https://www.tsbdc.org/chscc/,"100 Cherokee Blvd. Suite 202
Chattanooga, Tennessee 37405",423-756-8668,"Existing small businesses with 500 employees or less, small business
start ups",www.facebook.com/chattanoogatsbdc,,Shayrn Moreland 423-756-8668,"Hamilton, Bledsoe, VanBuren, Grundy, Marrion, Franklin, Sequachie Warren, Rhea"
,Small Business Awards (Chattanooga Chamber of Commerce),Awards Event,,,,,Awards luncheon put on by the Chattanooga Chamber of Commerce.,,,,,,,,,
,Smart Bank,Debt Funding,,,,,"Provide small business checking, refinancing, SBA loans and startup facilities, including credit lines.",,https://www.smartbank.com/,,,,,,,
,Social Media Club CHA,"Business Development, Networking",,,,,,"The Social Media Club's primary mission is to expand digital media literacy, promote standard technologies, encourage ethical behavior and share best practices.
",https://www.facebook.com/pg/SMCChattanooga/about/?ref=page_internal,,,,,,,
,Society of Work,"Co-working, Workspace",,,,,,"Located in downtown Chattanooga, Society of Work is a member-driven coworkspace for professionals seeking the intersection of collaboration and focus. This shared workplace houses professionals of various trades, tools, and talents, each committed to building a culture where things get done.",http://www.societyofwork.com/,"1100 Market Street
Floor 6
Chattanooga, TN 37402
",423.449.9112,,,,,
9/27/2012 10:03:44,Southeast Tennessee Development District (SETDD),"Female Founders, Regional, Social & Environmental, Business Development",,,,,Assistance with grant opportunities and loan programs within the southeast Tennessee region.,"Build links between available government programs and the business community. This is a Certified Development Company under the SBA 504 program, which provides long-term, fixed-rate financing at a reasonable interest rate. In conjunction with a permanent lender, they can lend up to 90% of the cost of fixed assets. Special consideration is given to women and minorities.

Loan funds for purchasing equipment, real estate or other fixed assets such as
permanent working capital. Funds provided at 33% to 75% of total financing needs.
Maximum possible loan amount is $300,000.00",www.sedev.org,"1000 Riverfront Parkway, Chattanooga, TN 37402",423-266-5781,"Existing and new businesses seeking financial assistance from which jobs will be
retained and/or created",,,"Audra Kelly, Loan Officer 423/424-4247-office 423/762-1045-cell akelly@sedev.org","Bledsoe, Bradley, Grundy, Hamilton, Marion, McMinn, Meigs, Polk, Rhea and Sequatchie
Counties in Tennessee as well as Dade, Walker and Catoosa Counties in Georgia."
,Spartan Ventures / Spartan Systems,Equity Funding,,,,,,"Spartan is a team of designers, developers, investors, entrepreneurs that are obsessed with decreasing the risk of early stage products and ideas. They specialize in using technology as the primary catalyst to create and deliver scale, shaping companies of the future. ",http://joinspartan.com/,"1426 Williams St. Suite 11. Chattanooga, TN 37408 ",423.464.6381,,,,,
,Spirit of Innovation,Awards Event,,,,,Annual event put on by the chamber of commerce to honor the newest innovators in the city.,,,,,,,,,
,Springboard Enterprises,"Female Founders, National",,,,,"Accelerator for women-led businesses, connecting innovators, investors and influencers. ","Build links between available government programs and the business community. This is a Certified Development Company under the SBA 504 program, which provides long-term, fixed-rate financing at a reasonable interest rate. In conjunction with a permanent lender, they can lend up to 90% of the cost of fixed assets. Special consideration is given to women and minorities.",sb.co,,,,,,,
,Startup Chicks (Atlanta),"Female Founders, Regional",,,,,"Education, community, coaching, connections and investment for entrepreneurial women.",,startupchicks.org,,,,,,,
,STEM School,"Educational, Social & Environmental",,,,,"STEM School Chattanooga offers a new model for teaching and learning in order to prepare its students to one day enter and excel in the complex, ever-changing global workforce. Their curriculum offers learning experiences based in the real world – using a model focused on science, technology, engineering, math, and the arts.  Projects are developed in collaboration with local industry and higher education institutions, and are designed to address current issues and problems.",,http://www.stemschoolchattanooga.net/,,,,,,,
,SunTrust Bank,Debt Funding,,,,,"Offers several lines of credit, including detail and commercial lending; SBA loans and recievables financing.",,https://www.suntrust.com/,,,,,,,
,Swift Wing Ventures,"Networking/Guidance, Accelerator, Equity Funding",,,,,"Swift Wing Ventures provides unparalleled access to resources through their portfolio of companies. They amplify that with capital to scale, connections to leverage, and culture to enjoy. They exist to help Startup Support go-to-market and become more impactful mature companies. 
",,http://swiftwingventures.com/,,,,,,,
,Synovus (formerly Cohutta Bank of TN),Debt Funding,,,,,,,https://www.synovus.com/,,,,,,,
,Tech Goes Home CHA,"Educational, Social & Environmental, Innovation, Technology",,,,,"Digital inclusion program for Hamilton County residents, providing participants with 21st century tools, education and access.","Tech Goes Home Chattanooga (TGH CHA) is The Enterprise Center's new digital inclusion program for residents across Hamilton County. TGH CHA is modeled after the national, award-winning Tech Goes Home program. Founded in Boston, Tech Goes Home has successfully provided participants with the tools, education and access required for 21st century skills development since 1999.",https://techgoeshomecha.org/,,,,,,,
,Tech Stars (UP Global),"Female Founders, National, Startup Support",,,,,"Worldwide community of leaders and innovators, with resources for running events and programs.",,http://www.techstars.com/,Atlanta,,,,,,
,Tennessee Association of Manufacturers (TAM),"Civic, Public & Civic",,,,,,"The Tennessee Association of Manufacturers works to enable cooperation, competitiveness, and profitable growth for all Tennessee manufacturers to create an enriched economic future for all citizens of Tennessee. As the only statewide association exclusively dedicated to manufacturers and their allies, TAM has a professional staff dedicated to the needs of its members. ",http://www.tennam.com/,"10 W. MLK Blvd. 5th Floor. Chattanooga, TN 37402",423.266.1902,,,,,
,Tennessee Department of Economic and Community Development,,,,,,"Provides infrastructure assistance for water and sewer lines and rail line extensions. Also provides some site preparation assistance, industrial training programs, and loan assistance for qualified applicants.",,http://www.tn.gov/ecd,"312 Rosa L. Parks Avenue
Nashville, Tennessee 37243",615) 741-1888,,,,,
,Tennessee Energy Education Initiative,,,,,,,"The Tennessee Energy Education Initiative provides training, tools, and local events to help organizations in Tennessee take control of their energy usage. By connecting businesses with the right resources, expertise, peer experience, and potential funding options, the Tennessee Energy Education Initiative provides a roadmap to successfully navigate the energy landscape. Brought to you by the Tennessee Department of Environment and Conservation Office of Energy Programs, Pathway Lending, and other statewide energy resource providers. Funding is provided by the U.S. Department of Energy through the American Reinvestment and Recovery Act.

We’re partnering with schools, public libraries, churches, nonprofits, and other organizations across Hamilton County to offer free courses designed to help residents develop skills and habits required for smart technology and Internet use. Participants receive fifteen hours of classroom training to help them understand why the Internet is relevant in their daily lives, have the option to purchase a new Chromebook for only $50, and receive assistance in obtaining access to low-cost home Internet.",http://tnenergy.org/,,,,,,,
,Tennessee Minority Supplier Development Council (TMSDC),,,,,,The TMSDC is a non-profit membership organization that encourages corporations to develop and implement supplier diversity programs. It also provides training for members.,,http://tsmsdc.com/,"Metro Center, Plaza I Building
Suite 105
220 Athens Way
Nashville
Tennessee 37228",615.259.4699,,,,,
,Tennessee Rural Opportunity Fund,,,,,,"Provides loans to small, women, and minority-owned businesses that are unable to access traditional bank loans in rural Tennessee. As a “first-of-its kind $12 million revolving loan fund,” the Rural Opportunity Fund creates and retains jobs in Tennessee’s neediest rural counties.",,http://www.frbsf.org/community-development/files/Stimulating_Econ_Gwin.pdf,,,,,,,
,The 35.85 Guild,"Arts & Culture, Training, Services, Networking, Arts, Craft Workspace",,,,,"Provide support for artist development through internships, fellowships, projects, and other guild-sponsored programs/events.",,,,,,,,,
,The Chattery,"Female Founders, Regional",,,,,"Education and community collaboration through fun, accessible and affordable classes.",,thechattery.org,,423.413.8978,,,,,
,The Company Lab (CO.LAB),"Networking/Guidance, Accelerator/incubator Workspace
Startup Support, Startup Training, Mentoring, Funding, Networking
Startup Support, Training, Networking, Mentoring, Entrepreneurship",,,,,"Nonprofit startup accelerator that supports entrepreneurial growth in southeast Tennessee, offering programs, events and mentoring for entrepreneurs ranging from local small businesses to tech Startup Support seeking to scale. ","The Company Lab (CO.LAB) is a nonprofit startup accelerator that supports entrepreneurial growth in southeast Tennessee. We work with companies ranging from street-corner mom and pop shops to tech Startup Support scaling into major markets.

1.) connections to resources including mentorship, industry experts, business services, community, and capital across the SouthEast.
2.) 100 day intensive mentor based startup accelerator program
3.) 8 week SpringBoard business launching program
4.) free & discounted business services
5.) community events",colab.co,"1100 Market Street, Suite 100 
Chattanooga, TN 37402
",(423) 648-2195,"high growth Startup Support, tech, high-bandwidth, creative entrepreneurs, crazy ideas",facebook.com/thecompanylab,@thecompanylab,"Enoch Elwell, enoch@colab.is, 423.648.2195",Chattanooga and the 10 county region around it. Will help anyone outside of that area though!
,INCubator,"Networking/Guidance, Co-working Workspace, Accelerator/incubator Workspace, Entrepreneurship, Business Development, Startup Support, Work Space, Training, training and mentoring, Startup Support, Training, Mentoring, Space, Female Founders, Regional",,,,,,"The INCubator offers startup businesses office or manufacturing space at highly competitive lease rates. Tenants have access to INCubator clerical support, fax machine, copier and postage machine. The Tennessee Small Business Development Center, which has offices in the INCubator, provides a business library, computer and video centers, and business counseling services, available to INCubator entrepreneurs, free of charge.


The Business Development Center is a
125,000-square-foot former manufacturing facility
that has been renovated into a successful business
incubator. The BDC, which is owned by Hamilton
County, is the hub of the Chattanooga Chamber's
INCubator program, which offers start-up businesses
office or manufacturing space at highly
competitive lease rates. Tenants have access to
the INCubator's clerical support and office technology.
The Tennessee Small Business Development
Center, which has offices in the BDC, provides
a business library, computer and video centers,
business, and business counseling services to INCubator
entrepreneurs, all free of charge.",https://www.chattanoogachamber.com/incubator,"100 Cherokee Blvd. Suite 202
Chattanooga, Tennessee 37405",423-756-2121,startup businesses,,,"Kathryn Foster, 100 Cherokee Boulevard, Suite 100 Chattanooga, TN 37405 (423) 752-4301",Chattanooga area
,Urban League of Chattanooga,"Networking/Guidance, Startup Support, Networking (like YPAC), minority focused
Startup Support, Funding, Training, Mentoring, Social & Environmental, Female Founders, Regional",,,,,"Training, workshops and resources for African-Americans and other disadvantaged persons.",The league provides a range of services to minority employers and employees including PC based courses to meet job requirements of contracting companies as well as job readiness counseling.,ulchatt.net,"730 East M.L. King Blvd., Chattanooga, TN 37403
","
(423)756-1762",,,,,
,TN Venture Forum,Investor Pitch Days,,,,,,,,,,,,,,
,Top Con,"Annual Conference, Arts & Culture",,,,,Annual design conference.,"TopCon hosts speakers from all over the country and various creative fields to share their stories with a broad audience. Their attendees are a blend of designers, writers, developers, business owners, teachers and students from around the Southeast and beyond. The purpose of TopCon is to educate, inform, and inspire others with the intent focus of fostering a creative community.",http://www.topcontn.com/,,,,,,,
,"Training, Youth",Social & Environment,,,,,,,,,,,,,,
,Trust for Public Land Trust,"Community Development, Social & Environmental",,,,,,"The Trust for Public Land helps communities raise funds, conduct research and planning, acquire and protect land, and design and renovate parks, playgrounds, trails, and gardens.",https://www.tpl.org/our-work/parks-people%E2%80%93chattanooga#sm.00015r6xd0mywcxxsne26yec14ey5,,,,,,,
,TVA Economic Development Loan Fund,Debt Funding,,,,,,"The Economic Development Loan Fund is a multimillion-dollar revolving loan program for new and expanding industrial companies to purchase fixed assets such as buildings, machinery and equipment. EDLF loans are made only for fixed assets, such as plant expansions, the construction of new industrial facilities or the development of speculative buildings and industrial parks. The funds cannot be used for working capital.",http://businessloanfunds.com/business-directory/wpbdp_category/hamilton-tennessee/,,,,,,,
,TVA Minority Business Development Loan Fund,Debt Funding,,,,,,"Promotes the growth and expansion of minority and other socially and economically disadvantaged business owners in the Tennessee Valley. Borrower must meet MBDL eligibility guidelines and SBA requirements. Firms must be at least 51% minority/female owned. Funds may be used for working capital, contract financing, real estate financing, fixed assets and business acquisitions.",http://businessloanfunds.com/business-directory/tennessee-valley-authority/,,,,,,,
,U.S. Small Business Administration (SBA),"Female Founders, National",,,,,"Guide to loan programs, networks and support services specifically for women in small business.",,sba.gov/content/women-owned-businesses,,,,,,,
,UnFoundation,"Grants Funding, Community Development, Funding, Social & Environmental",,,,,,"THE UNFOUNDATION CREATES UNCONVENTIONAL GIVING OPPORTUNITIES TO UNCOMMON PROJECTS THROUGH UNLIKELY PEOPLE, YOU. THE FACE OF PHILANTHROPY IS CHANGING: WEALTH IS NO LONGER A PREREQUISITE.",http://www.theunfoundation.org/,,,,,,,
,Urban Design Collective,"Arts & Culture, Networking, Arts",,,,,,,,,,,,,,
,UTC,Educational,,,,,"The University of Tennessee at Chattanooga is an engaged, metropolitan university committed to excellence in teaching, research, and service, and dedicated to meeting the diverse needs of the region through strategic partnerships and community involvement.",,https://www.utc.edu/,"615 McCallie Ave
Chattanooga, TN 37403
",(423) 425-4111,,,,,
,UTC CEO Club,"Educational, Entrepreneurship, Startup Support, Networking, Funding, Training, Mentoring",,,,,The University of Tennessee at Chattanooga's Collegiate Entrepreneurs' Organization works to encourage all students to innovate and reach beyond campus. They are an organization committed to the advancement of student entrepreneurs and innovators through on and off campus activities with the local business community. ,,https://www.facebook.com/UTCCEO/,,,,,,,
,UTC College of Business,"Business Development, Training, Female Founders, Regional",,,,,"Bachelor’s and Master’s degree programs in Entrepreneurship, Marketing, Management, Finance and Accounting. Now available: Online MBA.","The University of Tennessee at Chattanooga College of Business provides quality AACSB-accredited educational programs that prepare full time and part time students (primarily from Tennessee and surrounding states) for managerial, professional, or entrepreneurial opportunities. 
///
Bachelor’s and Master’s degree programs in Entrepreneurship, Marketing, Management, Finance and Accounting. Now available: Online MBA.",http://www.utc.edu/college-business/,"300 Fletcher Hall  |  Dept 6056
615 McCallie Ave
Chattanooga, TN 37403", (423) 425-4313,,,,,
,UTC SimCenter Enterprises,Educational,,,,,,"The Center serves as a hub in Modeling, Simulation and High-Performance Computing for all Colleges at UTC. This involves cross-disciplinary team research projects that include important educational activities, including the PhD program in Computational Science and Engineering with concentrations in several domain sciences and in engineering. Center faculty and staff focus on: 

1.Maintaining a core competence and expertise in important areas of Modeling & Simulation, High-Performance Computing (HPC), and application domains in science and engineering;
2.Engaging in close, productive collaborations among faculty in UTC departments and the SimCenter, and joint mentoring of PhD students.
3.Maintaining productive relationships with sponsoring agencies and institutions, partners in the community, and with strategic R&D partners.",https://www.utc.edu/college-engineering-computer-science/research-centers/simcenter/,"701 East M L King Blvd  |  Dept 7200
615 McCallie Ave 
Chattanooga, TN 37403 (423) 425-5497",(423) 425-549,,,,,
,UTC Veterans Ent Degree,Educational,,,,,Veterans Afairs office within UTC that helps veterans wanting to go to college.,,https://www.utc.edu/records/veteran-affairs/,,,,,,,
,VW Academy,"Educational, Business Development",,,,,Mechatronics program collaboration between Chattanooga State and Volkswagon to help generate a workforce for the plant.,,https://www.chattanoogastate.edu/engineering-information-technologies/partnerships/vw-academy,,,,,,,
,Wacker Institute,"Educational, Business Development",,,,,Partnership between Chattanooga State’s Engineering Technology Division and WACKER POLYSILICON North America to help create a pool of process-engineering technicians.,,https://www.chattanoogastate.edu/wacker-institute,,,,,,,
,Waypaver Foundation,Civic/Social Enterprise,,,,,,"The WayPaver Foundation is a grant-making institution that exists to push humanity forward - and outward, toward the final frontier.",http://waypaverfoundation.org/,"800 Market Street, Suite 101, Chattanooga, TN 37402",,,,,,
,Will This Float? (CO.LAB),"Event, Startup Support, Networking, Funding",,,,,Annual business pitch competition that showcases up-and-coming startup ideas in the Chattanooga area. ,"Will This Float? is an annual business pitch competition that showcases up-and-coming startup ideas in the Chattanooga area. The fast-paced event is often the first moment in the limelight for participating entrepreneurs. Each finalist gets the stage for three minutes to tell the world (including local startup leaders and potential mentors and team members) why his or her concept is awesome. Once all participants present, the audience and a panel of judges vote on the best idea. At the end of the evening, the winning entrepreneur receives a cash prize and a package of free business services to take his or her startup idea to the next level.",http://colab.co/willthisfloat/,,,,,,,
,Women 2.0,"Female Founders, National",,,,,"Content, community and conferences for aspiring and current women innovators in technology.",,women2.com,,,,,,,
,Women's Fund,"Female Entrepreneurship, Networking",,,,,"The Women’s Fund of Greater Chattanooga works to improve the lives of women and girls in our community through efforts to make Chattanooga and Tennessee more just places for women to thrive and prosper. The do this through advocacy, collaboration, and targeted philanthropy and seek to make lasting social change in our community.",,http://chattanoogawomensfund.org/,"801 N. Holtzclaw Avenue, Suite 125
Chattanooga, TN 37404",423-752-4199,,,,,
,YPAC,"Business Development, Networking",,,,,"YPAC is the place where young professionals come to find inspiration, impact the community, build relationships, channel energy and advocate passions. ",,http://ypchattanooga.org/,,,,,,,
